x_dynein,y_dynein,x_cell,y_cell,Dynein Intensity,Cell Intensity
39,457,29,447,1352.111111111111,514.1111111111111
16,451,6,443,882.4444444444445,536.8888888888889
313,427,303,417,850.7777777777778,529.8888888888889
365,391,355,381,1057.3333333333333,450.0
261,387,251,378,1123.2222222222222,929.4444444444445
252,380,242,377,922.7777777777778,400.77777777777777
214,375,213,365,820.4444444444445,561.3333333333334
211,343,201,335,618.0,560.7777777777778
206,326,196,324,1104.4444444444443,475.55555555555554
166,312,159,305,493.3333333333333,523.5555555555555
362,310,352,300,509.8888888888889,501.22222222222223
349,168,342,176,585.0,549.0
438,164,428,154,952.1111111111111,579.6666666666666
110,135,110,142,677.0,513.3333333333334
138,132,128,127,642.4444444444445,569.5555555555555
350,94,340,88,514.1111111111111,447.8888888888889
114,93,104,83,869.2222222222222,461.44444444444446
383,64,373,68,923.8888888888889,508.44444444444446
