x_dynein,y_dynein,x_cell,y_cell,Dynein Intensity,Cell Intensity
23,503,13,493,1368.3333333333333,325.3333333333333
389,407,384,404,986.1111111111111,517.8888888888889
162,407,152,407,906.7777777777778,578.3333333333334
414,399,412,390,611.1111111111111,631.0
169,347,412,390,865.1111111111111,631.0
191,325,181,315,671.7777777777778,531.0
75,315,72,311,765.4444444444445,515.1111111111111
198,312,188,303,595.3333333333334,552.6666666666666
82,305,72,311,775.0,515.1111111111111
180,299,171,305,701.2222222222222,444.8888888888889
200,295,190,304,915.4444444444445,472.0
41,287,42,290,672.3333333333334,557.5555555555555
379,272,369,262,1189.0,432.55555555555554
402,264,392,266,831.3333333333334,513.2222222222222
213,263,207,270,870.4444444444445,543.6666666666666
224,252,214,247,496.8888888888889,490.44444444444446
389,248,379,256,530.6666666666666,550.3333333333334
224,246,214,236,988.5555555555555,439.1111111111111
224,242,214,234,796.6666666666666,422.44444444444446
370,229,360,233,1281.111111111111,464.0
455,203,445,210,774.2222222222222,684.4444444444445
499,196,445,210,914.0,684.4444444444445
443,192,445,210,1267.888888888889,684.4444444444445
468,173,458,173,944.2222222222222,426.55555555555554
466,159,462,165,720.6666666666666,671.8888888888889
259,147,249,137,902.6666666666666,502.22222222222223
259,141,249,137,638.8888888888889,502.22222222222223
213,136,211,127,1060.3333333333333,714.1111111111111
485,130,485,128,790.4444444444445,716.2222222222222
214,128,211,127,1007.7777777777778,714.1111111111111
377,111,367,103,948.6666666666666,504.44444444444446
102,90,92,86,673.3333333333334,616.5555555555555
130,97,120,106,1141.4444444444443,381.8888888888889
184,84,180,81,869.5555555555555,530.8888888888889
183,77,180,81,738.4444444444445,530.8888888888889
261,72,259,72,769.1111111111111,711.8888888888889
125,72,115,62,717.5555555555555,516.5555555555555
73,70,74,70,803.5555555555555,681.8888888888889
190,65,184,69,711.3333333333334,604.0
448,63,438,55,579.4444444444445,531.7777777777778
456,56,446,52,696.8888888888889,474.8888888888889
473,24,464,29,962.8888888888889,689.5555555555555
